"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"base","Innenstadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1381900000,0.75,0.9,363.657894736842,451.601307189542
"dekarbonisiert","Innenstadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1331900000,0.75,0.9,350.5,435.261437908497
"stark","Innenstadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,831900000,0.7,0.85,218.921052631579,271.862745098039
"base","ganze Stadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1303900000,0.7,0.85,343.131578947368,426.111111111111
"dekarbonisiert","ganze Stadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1253900000,0.7,0.85,329.973684210526,409.771241830065
"stark","ganze Stadt","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,753900000,0.65,0.8,198.394736842105,246.372549019608
"base","base","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1243900000,0.7,0.85,327.342105263158,406.503267973856
"dekarbonisiert","base","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,1193900000,0.7,0.85,314.184210526316,390.16339869281
"stark","base","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,693900000,0.65,0.8,182.605263157895,226.764705882353
"base","Innenstadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,1173200000,0.7,0.85,308.736842105263,383.398692810458
"dekarbonisiert","Innenstadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,1123200000,0.7,0.85,295.578947368421,367.058823529412
"stark","Innenstadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.45,623200000,0.6,0.8,164,203.660130718954
"base","ganze Stadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,1102500000,0.65,0.8,290.131578947368,360.294117647059
"dekarbonisiert","ganze Stadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.5,1052500000,0.65,0.8,276.973684210526,343.954248366013
"stark","ganze Stadt","stark","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.45,552500000,0.6,0.75,145.394736842105,180.555555555556
"base","base","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0.01,-2e+05,0,0,-0.0526315789473684,-0.065359477124183
"dekarbonisiert","base","base","Verbot","Verbot","base","10 €/Jahr","0,00 €/h",0,-50200000,0,0,-13.2105263157895,-16.4052287581699
