"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.94e+09,0.8,0.6,0.116935,509.359649122807,632.538126361656
"stark","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.39e+09,0.8,0.55,0.1279915,366.888333333333,455.612962962963
"base","base","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.01,1.93e+09,0.8,0.6,0.116935,506.728070175439,629.270152505447
"dekarbonisiert","base","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.88e+09,0.8,0.6,0.116935,493.570175438597,612.930283224401
"stark","base","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.33e+09,0.8,0.55,0.1279915,351.098859649123,436.005119825708
"base","ganze Stadt","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.01,1.87e+09,0.8,0.55,0.1279915,493.204122807018,612.475708061002
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.82e+09,0.8,0.55,0.1279915,480.046228070176,596.135838779957
"stark","ganze Stadt","stark","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.29e+09,0.8,0.55,0.13794235,338.664149122807,420.563322440087
"base","base","base","autofrei","nurAussenbezirke","base",0.01,0,0.65,0,0.2275,0,0
"dekarbonisiert","base","base","autofrei","nurAussenbezirke","base",0,-5e+07,0.65,0,0.2275,-13.1578947368421,-16.3398692810458
"stark","base","base","autofrei","nurAussenbezirke","base",0,-5.5e+08,0.65,0,0.2275,-144.736842105263,-179.738562091503
"base","ganze Stadt","base","autofrei","nurAussenbezirke","base",0.01,-1e+07,0.65,0,0.2275,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","autofrei","nurAussenbezirke","base",0,-6e+07,0.65,0,0.2275,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","autofrei","nurAussenbezirke","base",0,-5.6e+08,0.65,0,0.2275,-147.368421052632,-183.006535947712
"base","base","stark","autofrei","nurAussenbezirke","base",0.01,-7e+07,0.65,0,0.2275,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","autofrei","nurAussenbezirke","base",0,-1.2e+08,0.65,0,0.2275,-31.5789473684211,-39.2156862745098
"stark","base","stark","autofrei","nurAussenbezirke","base",0,-6.2e+08,0.65,0,0.2275,-163.157894736842,-202.614379084967
"base","ganze Stadt","stark","autofrei","nurAussenbezirke","base",0.01,-8e+07,0.65,0,0.2275,-21.0526315789474,-26.1437908496732
"dekarbonisiert","ganze Stadt","stark","autofrei","nurAussenbezirke","base",0,-1.3e+08,0.65,0,0.2275,-34.2105263157895,-42.483660130719
"stark","ganze Stadt","stark","autofrei","nurAussenbezirke","base",0,-6.3e+08,0.65,0,0.2275,-165.789473684211,-205.882352941176
"base","base","base","base","ganzeStadt","base",1,0,1,1,0,0,0
"dekarbonisiert","base","base","base","ganzeStadt","base",0.99,-5e+07,1,1,0,-13.1578947368421,-16.3398692810458
"stark","base","base","base","ganzeStadt","base",0.9,-5.5e+08,1,0.95,0,-144.736842105263,-179.738562091503
"base","ganze Stadt","base","base","ganzeStadt","base",0.9,-1e+07,1,0.95,0,-2.63157894736842,-3.26797385620915
"dekarbonisiert","ganze Stadt","base","base","ganzeStadt","base",0.9,-6e+07,1,0.95,0,-15.7894736842105,-19.6078431372549
"stark","ganze Stadt","base","base","ganzeStadt","base",0.8,-5.6e+08,0.95,0.9,0,-147.368421052632,-183.006535947712
"base","base","stark","base","ganzeStadt","base",0.9,-7e+07,1,0.95,0,-18.421052631579,-22.8758169934641
"dekarbonisiert","base","stark","base","ganzeStadt","base",0.9,-1.2e+08,1,0.95,0,-31.5789473684211,-39.2156862745098
"stark","base","stark","base","ganzeStadt","base",0.8,-6.2e+08,0.95,0.9,0,-163.157894736842,-202.614379084967
"base","ganze Stadt","stark","base","ganzeStadt","base",0.8,-8e+07,0.95,0.9,0,-21.0526315789474,-26.1437908496732
"dekarbonisiert","ganze Stadt","stark","base","ganzeStadt","base",0.8,-1.3e+08,0.95,0.9,0,-34.2105263157895,-42.483660130719
"stark","ganze Stadt","stark","base","ganzeStadt","base",0.75,-6.3e+08,0.95,0.85,0,-165.789473684211,-205.882352941176
"base","base","base","mautFossil","ganzeStadt","base",0.2,4.9e+08,0.95,0.9,0,128.070175438597,159.041394335512
"dekarbonisiert","base","base","mautFossil","ganzeStadt","base",0.2,4.4e+08,0.95,0.9,0,114.912280701754,142.701525054466
"stark","base","base","mautFossil","ganzeStadt","base",0.2,-1.1e+08,0.95,0.85,0,-29.4736842105263,-36.6013071895425
"base","ganze Stadt","base","mautFossil","ganzeStadt","base",0.2,4.3e+08,0.95,0.85,0,112.631578947368,139.869281045752
"dekarbonisiert","ganze Stadt","base","mautFossil","ganzeStadt","base",0.2,3.8e+08,0.95,0.85,0,99.4736842105263,123.529411764706
"stark","ganze Stadt","base","mautFossil","ganzeStadt","base",0.15,-1.7e+08,0.9,0.8,0,-43.6315789473684,-54.1830065359477
"base","base","stark","mautFossil","ganzeStadt","base",0.2,3.7e+08,0.95,0.85,0,96.8421052631579,120.261437908497
"dekarbonisiert","base","stark","mautFossil","ganzeStadt","base",0.2,3.2e+08,0.95,0.85,0,83.6842105263158,103.921568627451
"stark","base","stark","mautFossil","ganzeStadt","base",0.15,-2.3e+08,0.9,0.8,0,-59.4210526315789,-73.7908496732026
"base","ganze Stadt","stark","mautFossil","ganzeStadt","base",0.15,3.1e+08,0.9,0.8,0,82.6842105263158,102.679738562092
"dekarbonisiert","ganze Stadt","stark","mautFossil","ganzeStadt","base",0.15,2.6e+08,0.9,0.8,0,69.5263157894737,86.3398692810458
"stark","ganze Stadt","stark","mautFossil","ganzeStadt","base",0.15,-2.8e+08,0.9,0.75,0,-72.4263157894737,-89.9411764705882
"base","base","base","MautFuerAlle","ganzeStadt","base",0.6,2.19e+09,0.9,0.8,0,576.315789473684,715.686274509804
"dekarbonisiert","base","base","MautFuerAlle","ganzeStadt","base",0.6,2.14e+09,0.9,0.8,0,563.157894736842,699.346405228758
"stark","base","base","MautFuerAlle","ganzeStadt","base",0.55,1.6e+09,0.9,0.75,0,421.973684210526,524.019607843137
"base","ganze Stadt","base","MautFuerAlle","ganzeStadt","base",0.55,2.14e+09,0.9,0.75,0,564.078947368421,700.490196078431
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","ganzeStadt","base",0.55,2.09e+09,0.9,0.75,0,550.921052631579,684.150326797386
"stark","ganze Stadt","base","MautFuerAlle","ganzeStadt","base",0.5,1.56e+09,0.85,0.7,0,410.697368421053,510.016339869281
"base","base","stark","MautFuerAlle","ganzeStadt","base",0.55,2.08e+09,0.9,0.75,0,548.28947368421,680.882352941176
"dekarbonisiert","base","stark","MautFuerAlle","ganzeStadt","base",0.55,2.03e+09,0.9,0.75,0,535.131578947368,664.542483660131
"stark","base","stark","MautFuerAlle","ganzeStadt","base",0.5,1.5e+09,0.85,0.7,0,394.907894736842,490.408496732026
"base","ganze Stadt","stark","MautFuerAlle","ganzeStadt","base",0.5,2.04e+09,0.85,0.7,0,537.013157894737,666.87908496732
"dekarbonisiert","ganze Stadt","stark","MautFuerAlle","ganzeStadt","base",0.5,1.99e+09,0.85,0.7,0,523.855263157895,650.539215686274
"stark","ganze Stadt","stark","MautFuerAlle","ganzeStadt","base",0.45,1.46e+09,0.85,0.7,0,384.496052631579,477.478758169935
"base","base","base","zeroEmissionsZone","ganzeStadt","base",0.01,0,1,0.9,0,-0.00263157894736842,-0.00326797385620915
"dekarbonisiert","base","base","zeroEmissionsZone","ganzeStadt","base",0,-5e+07,1,0.9,0,-13.1605263157895,-16.343137254902
"stark","base","base","zeroEmissionsZone","ganzeStadt","base",0,-5.5e+08,0.95,0.85,0,-144.739473684211,-179.741830065359
"base","ganze Stadt","base","zeroEmissionsZone","ganzeStadt","base",0.01,-1e+07,0.95,0.85,0,-2.63421052631579,-3.27124183006536
